obj_x,obj_y,table_height,camera_viewpoint,traj_id
0.9,0.9,3,back,1765938682
0.7,0.9,3,back,1765938754
0.5,0.6,3,back,1765938799
0.6,0.5,3,back,1765938835
0.7,0.8,3,back,1765938899
0.6,0.8,3,back,1765938934
0.6,0.9,3,back,1765938989
0.9,1.0,3,back,1765939053
0.7,0.6,3,back,1765939087
0.6,1.0,3,back,1765939163
0.9,0.8,3,back,1765939199
0.5,0.5,3,back,1765939212
0.8,0.8,3,back,1765939264
1.0,1.0,3,back,1765939309
0.5,0.8,3,back,1765939344
0.8,0.7,3,back,1765939382
0.8,0.7,3,back,1765939396
0.6,0.8,3,back,1765939436
