trial,mode,x,y,orientation,binary_outcome,continuous_outcome,steps_taken
1,initial_random,0.6234078510196343,0.33877407090694833,,0,1.0,35
2,initial_random,0.4539725539584166,0.7051797142504388,,1,4.0,15
3,initial_random,0.4966936132098365,0.4969980761509558,,0,1.5,35
4,initial_random,0.7982130758781804,0.5768862766236175,,0,1.0,35
5,initial_random,0.3130740128195657,0.3380637967853888,,0,1.5,35
6,initial_random,0.0676815178848943,0.15687348838254456,,0,1.0,35
7,initial_random,0.6227623550260557,0.6033222516699591,,0,1.5,35
8,initial_random,0.5437496750846826,0.5507550898579358,,0,1.5,35
9,initial_random,0.8712743768116332,0.5204595884823136,,0,1.0,35
10,initial_random,0.4369997230486725,0.9542331945743848,,0,1.5,35
11,active,0.35969721346885164,0.7341991970565568,,1,4.0,14
12,active,0.46195342893699853,0.7579490554323172,,1,4.0,16
13,active,0.0,0.9334212539723205,,1,1.5,35
14,active,0.7212786066026657,1.0,,1,4.0,29
15,active,0.3976745619435656,0.0,,0,0.0,35
16,active,0.0,0.5659145830966218,,1,4.0,13
17,active,1.0,1.0,,0,1.0,35
18,active,0.2518107364983728,0.6393621975812993,,1,4.0,12
19,active,0.3528985271955049,1.0,,0,1.5,35
20,active,0.25248521061953744,0.49547258136939365,,1,4.0,13
21,active,0.5695411268146309,0.8363315664502964,,1,4.0,17
22,active,0.0,0.5920957006351585,,1,4.0,13
23,active,0.438710399726415,0.5059492562267688,,1,4.0,13
24,active,1.0,0.580368145174023,,0,1.0,35
25,active,0.5651856442808548,0.7158447767218983,,1,4.0,17
26,active,0.3960363821373771,0.5409739443992436,,1,4.0,14
27,active,0.0,0.0,,0,0.0,35
28,active,0.5545153161286254,0.4380714065336215,,0,2.5,35
29,active,0.0,1.0,,0,1.5,35
30,active,0.3642223415314534,0.6902787310404935,,1,4.0,12
31,active,0.0,0.5387347658335779,,1,4.0,12
32,active,0.44387118585136415,0.7657278493393649,,1,4.0,14
33,active,0.23591836409681816,0.6287551470128804,,1,4.0,12
34,active,0.0,0.42551593729703713,,1,4.0,12
35,active,0.4796693656746569,0.7945377937219908,,1,4.0,16
36,active,0.3479750787121737,0.48803087541071055,,1,4.0,12
37,active,0.3325651851736828,0.6888394083204402,,1,4.0,12
