x,y,table_height,camera_azimuth,camera_elevation,camera_distance
0.8,1.0,1.0,90.0,70.0,84.0
0.6000000000000001,1.0,3.0,90.0,70.0,84.0
0.0,1.0,1.0,90.0,70.0,84.0
0.0,1.0,3.0,90.0,70.0,84.0
0.9,1.0,2.0,90.0,70.0,84.0
0.9,1.0,1.0,90.0,70.0,84.0
0.0,1.0,2.0,90.0,70.0,84.0
1.0,1.0,3.0,90.0,70.0,84.0
0.0,0.9,1.0,90.0,70.0,84.0
0.1,1.0,3.0,90.0,70.0,84.0
1.0,1.0,1.0,90.0,70.0,84.0
1.0,1.0,2.0,90.0,70.0,84.0
0.8,1.0,3.0,90.0,70.0,84.0
0.1,1.0,2.0,90.0,70.0,84.0
0.1,1.0,1.0,90.0,70.0,84.0
0.9,1.0,3.0,90.0,70.0,84.0
1.0,0.9,1.0,90.0,70.0,84.0
0.2,1.0,3.0,90.0,70.0,84.0
0.8,1.0,2.0,90.0,70.0,84.0
0.7000000000000001,1.0,1.0,90.0,70.0,84.0
0.0,0.9,2.0,90.0,70.0,84.0
0.7000000000000001,1.0,3.0,90.0,70.0,84.0
0.7000000000000001,1.0,2.0,90.0,70.0,84.0
